参考汉字	参考读音	简要解释
子撑头	tsy33tshen44dei44	肘。
膈辣[记音]子下	kah5lah5tsy5wu55	咯吱窝。
手臂弯弯	shieu33pi44ue44ue44	臂弯。
左手	tsou44shieu21	
济手	tsi44shieu21	见tsou shieu。左手。
右手	yeu21shieu44	
斋[记音]手	tsa33shieu44	左撇子。
斋[记音]把则手	tsa32pu21tseh23shieu23	指手脚不灵活：你看你~，我来做吧，你覅做咧。
通关手	thon32kue21shieu23	两条掌横褶合并为一条称“猿线”，这样的手称“通关手”。
手脚跟头	shieu33ciah4ken44dei44	身边。
手节头	shieu33tsih4dei44	手指。
节头子	tsih32dei21tsy23	见shieu tsih dei。手指。
大手节头	dou21shieu44tsih4dei21	大拇指。
小手节头	siau33shieu44tsih4dei44	小手指。
扳节头子	pe44 tsih32dei21tseh23	屈指算。
节掐子	tsih5khah5tsy55	指甲。
节掐缝	tsih5khah5von55	指甲缝。
灰节掐	hue32tsih21khah23	灰指甲。
手节掐	shieu33tsih4khah4	手指甲。
脚节掐	ciah5tsih5khah5	脚趾甲。
六节头	loh21tsih4dei21	六个手指。
脶	lou113	手指纹呈椭圆形。
肉刺	nyoh32tshy23	
皵皮	tshiah21sy44	
手底心	shieu33ti44sin44	
手背	shieu33pe44	
拳头	jioe13dei21	
虎口	hu33khei44	
心口头	sin32khei21dei23	
胸口头	shion32khei21dei23	
肋棚[记音]骨	leh21ban44kueh21	肋骨。
背皮头	pe44bi44dei21	脊背。
背皮	pe44bi21	见pe bi dei。
腰眼里	iau32nge21li23	
妈妈头[记音]	ma13ma44dei21	乳房。
妈妈[记音]	ma13ma21	见ma ma dei。
肚皮	dou21bi44	
小肚皮	siau33dou44bi44	
肚脐眼	dou32zi21nge23	
脚	ciah5	包括腿和脚。
大腿	dou21the44	
脚髈	ciah32phaon23	大腿。
脚胳郎[记音]	ciah5koh5laon55	胫骨。
膝馒头	tshih32moe21dei23	膝盖。
小腿	siau33the44	
脚杆杆	ciah32koe21koe23	腿。
屁股	phi44ku21	
屎眼	sy33nge44	肛门。
屁眼	phi44nge21	见sy nge。
胴肛	don21kaon44	见sy nge。
卵	loe13	男性生殖器。
卵泡	loe21phau44	①睾丸。②对男性的昵称：猪~。
卵卵头	loe32loe21dei23	①男性生殖器。②对男性的昵称。
屄	pi44	女性生殖器。
屄屄头	pi32pi21dei23	
赤脚	tshah5ciah5	
赤脚	tsheh5ciah5	
脚弯弯	ciah32ue21ue23	膝部后面，腿弯曲时形成窝儿的地方。
脚背	ciah32pe23	
脚节头	ciah5tsih5dei55	脚趾。
挖脚	uah5ciah5	
后脚跟	ghei21ciah4ken21	
脚底板	ciah32ti21pe23	
脚底心	ciah32ti21sin23	
鸡眼	ci32nge32	
老茧	lau32cie23	
痣	tsyu34	
记	ci34	身上较大面积的印记。
胎记	the32ci23	
骨头	kueh21dei44	
骨头骨脑	kueh21dei44kueh4nau21	全身的骨头：一到落雨，身娘[nyan]~就会痛。
脆骨	tshe44kueh21	
筋	cin44	
青筋	tshin32cin23	
青紫块	tshin32tsy21khue23	身上的淤青。
寒毛	ghoe13mau21	汗毛。
寒毛孔	ghoe13mau44khon21	汗毛孔。
鸡皮肤	ci32bi21fu23	鸡皮疙瘩。
皮肤	bi13fu21	
腰子	iau32tseh23	肾。
肚肠	dou21zan44	肠子。
肯[记音]/肎	khen34	身上的污垢。
老肯[记音]/肎	lau32khen23	见khen。
赤角落[记音]	tsheh5koh5loh5	赤膊。
块	khue34	身上的疙瘩：拨蚊子叮着个~。
生病咧	san32bin21lih23	生病了。
勿写意	feh21sia44i21	不舒服，略有病痛。
勿适意	feh5seh5i55	
急症	cih32tsen23	
重症	zon21tsen44	
时症	zy13tsen21	季节性的流行病。
瘟病	uen32bin23	
病好点咧	bin213 hau32tie21lih23	病轻了。
身娘[记音]写意点咧	sen32nyan23 sia44i44tie44lih21	见bin hau tie lih。
身娘[记音]适意点咧	sen32nyan23 seh32i21tie21lih23	见bin hau tie lih。
医院	i32yoe23	
卫生所	we21sen44sou21	
医务室	i32vu21seh23	
门诊	men13tsen21	
出诊	tsheh32tsen23	
挂号	ku44ghau21	
请郎中	tshin33laon44tson44/tshin323-23 laon13tson21	
请医生	tshin33i44san44/tshin323-23 i32san23	见tshin laon tson。
看	khoe34	治（病）。
看毛病	khoe44mau44bin21/khoe34 mau13bin21	
把脉	pu33mah4	
看舌苔	khoe23 zeh21the4	
开方子	khe32faon21tseh23/khe44 faon32tseh23	
秘方	pi44faon21	
一贴药	ih5thih5yah5/ih5thih5 yah13	
药引	yah21yin44	
药罐头	yah21koe44dei21	①煮药的罐头。②比喻人经常生病吃药。
煎药	tsie32yah23/tsie44 yah13	
汤头药	thaon32dei21yah23	中药汤剂。
药材店	yah21ze44tie21	中药店。
撮药	tsheh5 yah13	配中药。
药房	yah21vaon44	西药店。
万金油	ve21cin44yeu21	①清凉油。②比喻人什么都懂一点，但什么都不擅长。
针灸	tsen32cieu23	
拔火罐	bah32hou21koe23	
膏药	kau32yah23	中药外用的一种。
贴膏药	thih5 kau32yah23	
药膏	yah21kau44	外用的西药。
成药	zen13yah21	
上药	zan21yah4	
化痰	hu44de21	
润肺	zen21fi44	
消食	siau32zeh23	
解毒	ka33doh4	
清火	tshin32hou23	
补肾	pou33zen44	
补血	pou33shiuih44	
健脾	jie21bi44	
明目	min13moh21	
补气	pou33chi44	
生津	san32tsin23	
驱寒	chiu32ghoe23	
提神	di13zen21	
退热	the44nyih21	
安神	oe32zen23	
发散	fah32se23	
活血	weh21shiuih4	
调经	diau13cin21	
安胎	oe32the23	
胎里毛病	the32li21mau21bin23	先天性的病。
盗汗	dau21ghoe44	
虚汗	shiu32ghoe23	
感冒	koe44mau21	
伤风	san32fon23	
受瀴	zei32in23	受凉。
受瀴	zou32in23	见zei in。受凉。
风寒	fon32ghoe23	
发痴	fah21tsyu44	发疯。
发寒热	fah32ghoe21nyih23/fah5 ghoe13nyih21	发烧。
寒暑表	ghoe13syu44piau21	体温计。
咳嗽	kheh32sei23	
哮喘	shiau44tshoe21	
气喘	chi44tshoe21	
中暑	tson44syu21	
上火	zan32hou23/zan13 hou323	
积食	tsih5zeh5	
肚皮痛	dou21bi44thon21	肚子疼。
勿消化	feh32siau21hu23	消化不良。
屙	ou44	①大便：~屎。②消化不良，拉肚子：我肚皮有点~。
屙肚皮	ou44 dou21bi44	拉肚子。
反	fe34	反胃，恶心想呕吐：我胃里向有点~。
头昏	dei13huen21	
头浑	dei113-13 wen113	指头晕乎乎，神志不清。
头晕	dei113-13 yuin213	
晕车	yuin21tshou44	
晕船	yuin21zoe44	
头痛	dei13thon21	
心口痛	sin32khei21thon23	
胃气痛	we21chi44thon21	胃痛。
恶心	oh21sin44	
呕	ei323	
痨病	lau13bin21	
骨痨	kueh21lau44	
肺痨	fi44lau21	
痛经	thon44cin21	
疝气	se44chi21	
小肠气	siau33zan44chi44	
盲肠炎	maon21zan44ye21	
疟疾	nyah21zih4	
冷热病	lan21nyih4bin21	见nyah zih。疟疾。
三日头	se32nyih21dei23	见nyah zih。疟疾。
肝炎	koe32ye23	
吃食懒黄病	chih5zeh5le55waon55bin55	见koe ye。肝炎。
痧子	sou32tseh23	麻疹。
起痧	chi33sou44	
刮痧	kuah21sou44	
打针	tan33tsen44	
出痱子	tsheh5 be21tseh4	
出天花	tsheh5 thie32hu23	
出水痘	tsheh5 syu33dei44	
种牛痘	tson34 nyeu33dei44	
种花	tson44hu21/tson34 hu44	见tson nyeu dei。
脑膜炎	nau21moh4ye21	
羊牵疯	yan13chie44fon21	羊癫疯。
生疔	san44 tin44	
抽筋	chieu32cin23	
腰子病	iau32tseh21bin23	肾炎。
癌	ng113	
中风	tson44fon21	
风瘫	fon32the23	
做伤	tsou33san44	劳累过度。
脱力	theh5lih5	疲劳过度而无力。
脱力草	theh5lih5tshau55	草药，民间用来治疗食欲不振、全身无力。
脱骱	theh32ga23	脱臼。
歇夏	shih32wu23	指人到了夏天食欲不振、四肢无力的现象，女子可表现为不来月经。
皴	tshen44	皮肤因受冻或受风吹而干裂：面孔娘[nyan]有点~。
咍[记音]/㾂[俗字]	he44	肿：跌着一个跟头：脚娘[nyan]有点~。
肿	tson323	红肿。
疮	tshaon44	
伤口	san32khei23	
盖盖头	ke44ke44dei21	痂。
结盖[记音]	cih32ke23	结痂。
化脓	hu44nyon21	
内出血	ne21tsheh4shiuih21	
冻紫血	ton44tsy44shiuih21	生冻疮。
紫血	tsy33shiuih4	冻疮。
冻疮	ton44tshaon21	见tsy shiuih。
开刀	khe32tau23	
跌坏	tih13wa21	跌伤。
撞坏	zaon13wa21	撞伤。
疤	pu44	
痔疮	zy21tshaon44	
癣	sie323	
牛皮癣	nyeu13bi44sie21	
风疹块	fon32tsen21khue23	荨麻疹。
湿气	seh32chi23	脚气，脚癣。
癞痢头	lah32li21dei23	
骚蕾蕾头	sau32le21le21dei23	青春痘。
蕾蕾头	le32le21dei23	小疙瘩。
猪狗臭	tsyu32kei21chieu23	狐臭。
狐臭	wu13chieu21	见tsyu kei chieu。
嘴臭	tsyu33chieu44/tsyu323-23 chieu44	
牙齿痛	nga13tshy44thon21	
豁牙齿	huah32nga21tshy23	缺牙。
蛀牙	tsyu44nga21	
齾齿佬	ngah32tshy21lau23	牙不全的人，多指正在换牙的小孩，有讥讽取笑义。
漏馋	lou21ze44	漏口水。
对接眼	te44tsih4nge21	内视。
眯凄眼	mi32tshi21nge23	视力不佳的眼睛。
独眼龙	doh32nge21lon23	
散光	se33kuaon44	
老花眼	lau21hu44nge21	
红眼睛	ghon13nge44tsin21	
青光眼	tshin32kuaon21nge23	
白内障	bah32ne21tsan23	
折脚	zeh21ciah4	瘸子。
罗圈腿	lou13chioe44the21	
歪头	hua32dei23	斜头。
歪嘴	hua32tsyu23	
雌鸡喉咙	tshy32ci21wu21lon23	
鸡胸	ci32shion23	因佝偻病形成的胸骨突出类似于鸡胸的症状。
驼子	dou13tseh21	
驼背	dou13pe21	①驼子。②一种较为常见的脊柱变形，是胸椎后突所引起的形态改变。
瘫子	the32tseh23	瘫痪的人。
麻子	mu13tseh21	
瞎子	hah5tseh5	
朝天阿三	zau13thie44ah4se21	见hah tseh。瞎子。
亮子	lian21tsy44	视力良好的人。
聋子	lon21tseh4	
聋朋[记音]	lon13ban21	见lon tseh。聋哑人。
哑子	u33tseh4	
愣子	len21tseh4	
刁嘴笃舌	tiau32tsyu21toh21zeh23	指人说话口齿不清。
笃舌头	toh5zeh5dei55	大舌头。
痴子	tshyu32tseh23	疯子。
老朋友	lau21ban44yeu21	月经。
打扮	tan33pe44	
衣裳	i32zan23	
服装	voh21tsaon44	
行头	ghaon13dei21	
工作服	kon32tsoh21voh23	制服。
百家衣	pah21ka44i21	担心小孩子长不大，集百家布或钱做成的衣服。
西装	si32tsaon23	
外套	nga21thau44	
两用衫	lian21yon44se21	普通的外套。
面袍子	mie13bau44tseh21	
棉袄	mie13au21	
皮衣	bi13i21	
大衣	da21i44	
派克大衣	pha44kheh4da4i21	风雪大衣，“派克”由英文parka音译而来。
衬衫	tshen44se21	
汗衫	ghoe21se44	短袖T恤。
汗衫背心	ghoe21se44pe44sin21	
短装	toe33tsaon44	
短打	toe33tan44	短装。
裙	jiuin113	
长裙	zan13jiuin21	
短裙	toe33jiuin44	
超短裙	tshau32toe21jiuin23	
喇叭裙	la21pa44jiuin21	
连衫裙	lie13se44jiuin21	
裙边	jiuin13pie21	①帽裙的边缘。②甲鱼边缘的肉质部分。
羊毛衫	yan13mau44se21	
毛线衫	mau13sie44se21	
绒线衫	nyon13sie44se21	
羊绒衫	yan13nyon44se21	
开衫	khe32se23	
马褂	mu21ku44	
背心	pe44sin21	
内衣	ne21i44	
棉毛衫	mie13mau44se21	冬天穿的内衣。
棉毛裤	mie13mau44khu21	冬天穿的内裤。
肚兜	dou21tei44	
胸罩	shion32tsau23	
短裤	toe33khu44	
三角短裤	se32koh21toe21khu23	
洋袜	yan13mah21	袜子。
睏裤	khuen44khu21	睡裤。
睏裙	khuen44jiuin21	睡裙。
睏衣	khuen44i21	睡衣。
披风	phi32fon23	
披肩	phi32cie23	
旗袍	ji13bau21	
领头	lin21dei44	衣领。
翻领	fe32lin23	
圆领	yoe13lin21	
鸡心领	ci32sin21lin23	
袖子管	zei21tsy44koe21	
袖套	zei21thau44	
裤子	khu44tseh21	
踏脚裤	dah21ciah4khu21	
绒线裤	nyon13sie44khu21	
棉裤	mie13khu21	
开裆裤	khe32taon21khu23	
灯笼裤	ten32lon21khu23	
直筒裤	zeh32don21khu23	
喇叭裤	la21pa44khu21	
牛仔裤	nyeu21tsy44khu21	
运动裤	yuin21don44khu21	
背带裤	pe44ta44khu21	
小脚裤	siau33ciah4khu44	
裙裤	jiuin13khu21	
裤裆	khu44taon21	
裤子衣带	khu44tseh4i44ta21	裤腰带。
腰带	iau32ta23	
皮带	bi13ta21	
裤脚管	khu44ciah4koe21	
帽子	mau21tseh4	
草帽	tshau33mau44	
鸭舌头	ah5zeh5dei55	帽檐。
袋袋	de21de44	口袋。
拉链	la32lie23	
揿钮	chin44nyeu21	子母扣。
钮头	nyeu21dei44	扣子。
钮头洞	nyeu32dei21don23	扣子洞。
搭襻	tah32phe23	连接鞋子、箱子、门窗等两部分的长形布条或金属条。
围身头	yu13sen44dei21	围裙。
饭单头	ve21te44dei21	围嘴。
围馋	yu13ze21	围嘴。见ve te dei。
围袋袋	yu13de44de21	围嘴。见ve te dei。
鞋子	gha13tseh21	
单鞋	te32gha23	
布鞋	pou44gha21	
皮鞋	bi13gha21	
高跟鞋	kau32ken21gha23	
球鞋	jieu13gha21	
单球鞋	te32jieu21gha23	
棉球鞋	mie13jieu44gha21	
旅游鞋	li44yeu44gha21	
凉鞋	lian13gha21	
蚌壳棉鞋	ban21khoh4mie44gha21	一种中式棉鞋，因两边的鞋帮如蚌壳，故名。
靴	shioe44	
靴	shieu44	见shioe。
靴	shio44	见shioe。
靴	shiu44	见shioe。
芦花蒲鞋	lou13hu44bou44gha21	用芦花编制成的冬天穿的靴子。
鞋底	gha13ti21	
拖鞋	thou32gha23	
套鞋	thau44gha21	雨鞋。
棉鞋	mie13gha21	
鞋面	gha13mie21	
鞋皮[记音]头	gha13bi44dei21	被踩的鞋后跟。
鞋衣带	gha13i44ta21	鞋带。
鞋楦头	gha13shioe44dei21	鞋楦子。
鞋拔子	gha13bah4tsy21	
长筒袜	zan13don44mah21	
短筒袜	toe33don44mah4	
袜筒管	mah32don21koe23	袜筒。
宽紧带	khoe32cin21ta23	
眼镜	nge32cin23	
望远镜	maon21yoe44cin21	
放大镜	faon44dou44cin21	
皮夹子	bi13kah4tseh21	
手表	shieu33piau44	
跑马表	bau33mu44piau44	走快的表。
镯头	zoh21dei44	
手链	shieu33lie44	
脚链	ciah21lie44	
项链	ghaon21lie44	
戒指	ka44tsyu21	
钻戒	tsoe44ka21	
别针	bih21tsen44	见kah tsen。
耳环	r21gue44	
锁片	sou33phie44	
金锁片	cin32sou21phie23	
银锁片	nyin13sou44phie21	
链条	lie21diau44	
夹针	kah21tsen44	别针。
粉	fen323	
香	shian44	
雪花膏	sih21hu44kau21	
痱子粉	be21tseh4fen21	
香水	shian32syu23	
花露水	hu32lou21syu23	
口红	khei33ghon44	
节掐油	tsih5khah5yeu55	
节节油	tsih5tsih5yeu55	
香肥皂	shian32bi21zau23	
木梳	moh21sou44	梳子。
雨披	yu21phi44	
伞	se323	
洋伞	yan13se21	
拐老棒	kua33lau33baon44	拐杖。
手巾	shieu33cin44	见cioe dei。手绢。
围巾	yu13cin21	
手套	shieu33thau44	
半截头手套	poe44tsih4dei44shieu44thau21	
皮手套	bi13shieu44thau21	
棉手套	mie13shieu44thau21	
搭膊	tah5poh5	一种长方形的布袋，中间开口，两端可盛钱物，系在衣外作腰巾，亦可肩负或手提。
褡裢	tah21lie44	见tah poh。
包	pau44	
皮包	bi13pau21	
双肩包	saon32cie21pau23	
拎包	'''lin32pau23'	
购物袋	kei44veh4de21	
网线袋	maon32sie21de23	
料作	liau21tsoh4	衣料。
料头	liau21dei44	见liau tsoh。衣料。
布头	pou44dei21	布。
布头筋筋	pou44dei44cin44cin21	布的边角料。
土布	thou33pou44	
老棉布	lau21mie44pou21	
卡其布	kha33ji44pou44	
士林蓝布	zy21lin44le44pou21	
泡泡纱	phau44phau44sou21	
绒布	nyon13pou21	
灯芯绒	ten32sin21nyon23	
开司米	khe44sy44mi21	
呢	nyi113	一种毛织物。
垫肩	die21cie44	
须须头	sou32sou21dei23	流苏。
卸[记音]丝	sia44sy21	织物周边纤维脱离。
夹里	kah32li23	①里子。②后缀，表示某姓之人，如“张~”。
伙食	hou33zeh4	
开伙仓	khe32hou21tshaon23	开伙。
饭	ve213	①米饭。②一日三餐的统称。
朝饭	tsau32ve23	
昼饭	cieu44ve21	午饭，一般过节时吃的午饭才叫“昼饭”。
中饭	tson32ve23	午饭。
夜饭	ya21ve44	晚饭。
点心	tie33sin44	
夜点心	ya21tie44sin21	
吃头	chih21dei44	零食。
夜宵	ya21siau44	
零碎物事	lin13se44meh4zy21	零食。见chih dei。
零碎	lin13se21	零食。见chih dei。
饭碗头	ve21oe44dei21	留在饭碗里的一两口剩饭。
脚脚头	ciah5ciah5dei55	剩下的一点点细碎的食物或东西。
硬饭	ngan21ve44	
烂饭	le21ve44	
饭除[记音]	ve21zyu44	锅巴。
饭米糁	ve21mi44soe21	饭粒。
糯米饭	nou21mi44ve21	
夹生饭	kah21san44ve21	没煮熟的饭。
隔夜饭	kah21ya44ve21	
泡饭	phau44ve21	
咸泡饭	ghe13phau44ve21	
粥	tsoh5	
粥腻头	tsoh32nyi21dei23	粥上结的一层膜。
绿豆粥	loh21dei44tsoh21	
绿豆汤	loh21dei44thaon21	
赤豆粥	tshah21dei44tsoh21	
桂花糖粥	kue44hu44daon44tsoh21	
粽子	tson44tseh21	
肉粽	nyoh32tson23	
赤豆棕	tshah21dei44tson21	
米棕	mi32tson23	
枣子棕	tsau33tseh4tson44	
干面	koe32mie23	面粉。
头面	dei13mie21	麦磨碎后第一次筛出来的面粉。
头面	dou13mie21	麦磨碎后第一次筛出来的面粉。
二面	nyi21mie44	第二次筛出来的面粉。
麸皮	fu32bi23	磨面后剩的麦皮。
六谷粉	loh21koh4fen21	玉米粉。
水磨粉	syu33mou44fen44	糯米浸泡后连水一起磨成浆，再虑去水分后制成的分。
菱粉	lin13fen21	淀粉。
馒头	moe13dei21	①（有馅儿的）包子。②（没馅儿的）馒头。
面	mie213	面条。
阔面	khueh32mie23	
细面	si44mie21	
过桥	kou44jiau21	浇头另放在碟子里。
宽汤	khoe32thaon23	面汤多。
紧汤	cin33thaon44	面汤少。
拌面	boe21mie44	
健面	jie21mie44	煮的比较硬的面称“健”。
烂面	le21mie44	指煮得较软的面条。
光面	kuaon32mie23	指一种不加上任何菜肴配料而只有汤的面条。
缩[记音]溜面	soh21lei44mie21	见kuaon mie。
素溜面	sou44lei44mie21	见kuaon mie。
烂糊面	le21wu44mie21	用宽面条加青菜等蔬菜煮至烂而成的面食。
银丝面	nyin13sy44mie21	
面川条	mie21tshoe44diau21	指细条状的面食。
面癞团	mie21la44doe21	面疙瘩，状如癞蛤蟆，故名。
大饼	da21pin44	烘烤而成的面饼，面上洒芝麻，略甜。
油条	yeu13diau21	以面粉为主要原料油炸制成的条形事食物。
酿[记音]	nyan213	①馅儿。②动词，把馅儿包进所制的食品中：~面筋。
酿心[记音]	nyan21sin44	馅儿。
肉酿[记音]	nyoh32nyan23	肉馅儿。
菜酿[记音]	tshe44nyan21	菜馅儿。
芝麻酿[记音]	tsyu32mu21nyan23	芝麻馅儿。
洗沙酿[记音]	si33sou44nyan44	赤豆煮熟捣碎而成的馅儿。
菜猪油酿[记音]	tshe44tsyu44yeu44nyan21	用板油和青菜做成的馅儿。
馄钝	wen13den21	
菜馄钝	tshe44wen44den21	
肉馄钝	nyoh21wen44den21	
菜肉馄钝	tshe44nyoh4wen44den21	
大馄钝	dou21wen44den21	
小馄钝	siau33wen44den44	
碰肉馄钝	ban21nyoh4wen44den21	小馄钝，用筷子碰到点肉放在皮子上就包一个，故名。
手推馄钝	shieu33the44wen44den44	用手工擀制的皮包的馄钝。
三鲜馄饨	se32sie21wen21den23	以鲜河虾、鲜青鱼肉以及鲜猪腿肉制馅，故名“三鲜”。
小笼馒头	siau33lon44moe44dei44	无锡特产，用小蒸笼蒸的肉馅儿小包子，皮薄汁多。
生煎馒头	san32tsie21moe21dei23	用油煎熟的小包子。
花卷	hu32cioe23	
锅贴	kou32thih23	
春卷	tshen32cioe23	油炸的面皮卷，内包菜和肉丝。
烧卖	sau32ma23	
烧麦	sau32mah23	
团子	doe13tseh21	汤团。
青团子	tshin32doe21tseh23	绿色的团子，青色为用“浆麦草汁”染成。江南地区有清明时节吃青团子的习俗。
五色汤团	ng21seh4thaon44doe21	以水磨粉包成，馅心有鲜肉、菜猪油、豆沙、芝麻、玫瑰白糖，故称“五色汤团”。
挂粉汤团	koe44fen44thaon44doe21	见ng seh thaon doe。
圆子	yoe13tseh21	用面粉做的小团子，无馅。
瘪子团	pih32tsy21doe23	无馅团子，用手按出一个凹形。
松花粢团	son32hu21zy21doe23	
大麦饼	dou21mah4pin21	
羌饼	tshian32pin23	一种原形烙饼，直径有尺许。
麦饼	mah21pin44	
葱油饼	tshon32yeu21pin23	酥油饼。
面衣饼	mie21i44pin21	将面粉糊放在锅中加少许油烙制成的饼。
萝卜丝饼	lau13boh4sy44pin21	
梅贡饼	me13kon44pin21	
糕	kau44	
年糕	nye13kau21	
糖年糕	daon13nye44kau21	
绿豆糕	loh21dei44kau21	
赤豆糕	tshah21dei44kau21	
云片糕	yuin13phie44kau21	
马蹄糕	mu21di44kau21	
海棠糕	he33daon44kau44	
梅花糕	me13hu44kau21	
八珍糕	pah21tsen44kau21	江南点心，里面有中药成分，具有保健效果。
方糕	faon32kau23	无锡传统名点。用特制的方型木质模板，筛入糕粉，显出凹型，分别放入鲜肉、豆沙、菜猪油等馅心，筛上一层糕粉，刮平，用刀划成块线，上笼用旺火蒸熟即成。
重阳糕	zon13yan44kau21	
九品糕	cieu33phin44kau44	用荸荠、栗子、莲心等九种果品煮成的羹，重阳节吃。
惠山油酥	we21se44 yeu13sou21	无锡特产，原名“重油烧饼”，别名“金刚肚脐”。
定榫糕	din21sen44kau21	一种用米粉做的糕点，形如银锭的接榫。旧时科举考试时，与笔、粽子一起，谐音“必定胜、高中”。
浇切片	ciau32tshih21phie23	一种糕点，由糖熬制，拌以芝麻等切成薄片。
油搞搞	yeu13gau44gau21	麻花。
开口笑	khe32khei21siau23	一种油炸的面点。
灵山寿饼	lin13se44zei44pin21	
金刚肚脐	cin32kaon21dou21zi23	
玉兰饼	nyoh21le44pin21	糯米粉裹以肉馅，再放进油里煎。
腊烧片	lah21sau44phie	无锡特色糕点，用饴糖、上等面粉拌匀，做成一圈圈一片片再烘焙而成。
桃酥	dau13sou21	
杏仁酥	ghan21nyin44sou21	
蛋黄酥	de21waon44sou21	
蟹壳黄	ha33khoh4waon44	江南小吃，因形色如蟹壳，故名。
